date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:00:31	131198/131198	---M--	200	added ('OK')	text/html	date:Sun,%2013%20Oct%202024%2016:00:33%20GMT	https://materiais.ao4.com.br/fee?gad_source=1&gclid=CjwKCAjw_4S3BhAAEiwA_64YhtdbdbVfWwWJbQY_XtsSUYgXYJMPca-j7uQ3YwxHtWGWz2Ou6fayehoC9aIQAvD_BwE	C:/Meus%20Sites/design/materiais.ao4.com.br/fee140a.html	(from )
13:00:32	24/24	---M--	200	added ('OK')	text/plain	date:Tue,%2020%20Aug%202019%2016:17:29%20GMT	https://materiais.ao4.com.br/robots.txt		(from )
13:00:33	131198/131198	---M--	200	added ('OK')	text/html	date:Sun,%2013%20Oct%202024%2016:00:34%20GMT	https://materiais.ao4.com.br/fee	C:/Meus%20Sites/design/materiais.ao4.com.br/fee.html	(from https://materiais.ao4.com.br/fee?gad_source=1&gclid=CjwKCAjw_4S3BhAAEiwA_64YhtdbdbVfWwWJbQY_XtsSUYgXYJMPca-j7uQ3YwxHtWGWz2Ou6fayehoC9aIQAvD_BwE)
13:00:33	14506/14506	---M-Z	200	added ('OK')	text/css	etag:%225eb03fcb-38aa%22	https://cdnjs.cloudflare.com/ajax/libs/select2/3.5.2/select2.min.css	C:/Meus%20Sites/design/cdnjs.cloudflare.com/ajax/libs/select2/3.5.2/select2.min.css	(from https://materiais.ao4.com.br/fee?gad_source=1&gclid=CjwKCAjw_4S3BhAAEiwA_64YhtdbdbVfWwWJbQY_XtsSUYgXYJMPca-j7uQ3YwxHtWGWz2Ou6fayehoC9aIQAvD_BwE)
13:00:33	95931/95931	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.11.2/jquery.min.js	C:/Meus%20Sites/design/ajax.googleapis.com/ajax/libs/jquery/1.11.2/jquery.min.js	(from https://materiais.ao4.com.br/fee?gad_source=1&gclid=CjwKCAjw_4S3BhAAEiwA_64YhtdbdbVfWwWJbQY_XtsSUYgXYJMPca-j7uQ3YwxHtWGWz2Ou6fayehoC9aIQAvD_BwE)
13:00:33	21601/21601	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22c593e70ef041ab387fefad5fe38a724c%22	https://d335luupugsy2.cloudfront.net/js/jquery.validate/1.9/jquery.validate.min.js	C:/Meus%20Sites/design/d335luupugsy2.cloudfront.net/js/jquery.validate/1.9/jquery.validate.min.js	(from https://materiais.ao4.com.br/fee?gad_source=1&gclid=CjwKCAjw_4S3BhAAEiwA_64YhtdbdbVfWwWJbQY_XtsSUYgXYJMPca-j7uQ3YwxHtWGWz2Ou6fayehoC9aIQAvD_BwE)
13:00:34	66596/66596	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03fcb-10424%22	https://cdnjs.cloudflare.com/ajax/libs/select2/3.5.2/select2.min.js	C:/Meus%20Sites/design/cdnjs.cloudflare.com/ajax/libs/select2/3.5.2/select2.min.js	(from https://materiais.ao4.com.br/fee?gad_source=1&gclid=CjwKCAjw_4S3BhAAEiwA_64YhtdbdbVfWwWJbQY_XtsSUYgXYJMPca-j7uQ3YwxHtWGWz2Ou6fayehoC9aIQAvD_BwE)
13:00:34	1300/1300	---M-Z	200	added ('OK')	application/javascript	etag:%22bac86a22d09cf057b53c6a659592ac0d%22	https://d335luupugsy2.cloudfront.net/js/lead-tracking/stable/plugins/jquery.cookie.v1.4.1.min.js	C:/Meus%20Sites/design/d335luupugsy2.cloudfront.net/js/lead-tracking/stable/plugins/jquery.cookie.v1.4.1.min.js	(from https://materiais.ao4.com.br/fee?gad_source=1&gclid=CjwKCAjw_4S3BhAAEiwA_64YhtdbdbVfWwWJbQY_XtsSUYgXYJMPca-j7uQ3YwxHtWGWz2Ou6fayehoC9aIQAvD_BwE)
13:00:34	876/876	---M-Z	200	added ('OK')	application/javascript	etag:%2273fb69ebd144308f821f3c4f357459c0%22	https://d335luupugsy2.cloudfront.net/js/lead-tracking/stable/plugins/math.uuid.v1.4.min.js	C:/Meus%20Sites/design/d335luupugsy2.cloudfront.net/js/lead-tracking/stable/plugins/math.uuid.v1.4.min.js	(from https://materiais.ao4.com.br/fee?gad_source=1&gclid=CjwKCAjw_4S3BhAAEiwA_64YhtdbdbVfWwWJbQY_XtsSUYgXYJMPca-j7uQ3YwxHtWGWz2Ou6fayehoC9aIQAvD_BwE)
13:00:34	285193/285193	---M-Z	200	added ('OK')	application/javascript	etag:%227433d0c161f4a6e2a99ce66ea6d4c770%22	https://d335luupugsy2.cloudfront.net/js/rd/stable/rdlps.min.js?t=1719410759	C:/Meus%20Sites/design/d335luupugsy2.cloudfront.net/js/rd/stable/rdlps.min0a99.js	(from https://materiais.ao4.com.br/fee?gad_source=1&gclid=CjwKCAjw_4S3BhAAEiwA_64YhtdbdbVfWwWJbQY_XtsSUYgXYJMPca-j7uQ3YwxHtWGWz2Ou6fayehoC9aIQAvD_BwE)
